Kind_of_Usage,Usage_ID,Date,regist_dt_ICT,start_dt_ICT,end_dt_ICT,Kind_of_status,Customer_ID,Vehicle name,Station_depart.,Station_dest.,Gender,Age,Occupation,How to know Ha:mo,???(??),???(??),Usage',Usage Fee',Used_Points',Revenue'
Customer,100431224,1/7/2019,15:12:12,15:17:43,15:24:47,end,CP#0T5S2,17,20 Veterinary Science,07 Chamchuri 5,Male,23,University student (CU),Others(Booth),1/7/2019,13/01/2019,1,20,-20,0
Customer,100431233,1/7/2019,15:31:09,15:31:50,15:39:24,end,CP#0RG00,26,04 Engineering,21 Wittayakit Building,Male,20,University student (CU),Website,1/7/2019,13/01/2019,1,20,0,20
Customer,100431237,1/7/2019,15:38:56,15:39:32,16:05:22,end,CP#0QCR8,6,04 Engineering,09 Chamchuri 10,Male,34,University staff (CU),Others(Saw in CU),1/7/2019,13/01/2019,1,40,-40,0
Customer,100431242,1/7/2019,15:44:26,15:45:15,15:55:23,end,CP#0SL39,3,12 CU Terrace,21 Wittayakit Building,Male,18,University student (CU),Suggested by friend,1/7/2019,13/01/2019,1,20,-20,0
Customer,100431247,1/7/2019,15:49:20,15:50:07,16:00:08,end,CP#0S214,4,03 Sala Prakeaw,06 Chamchuri 9,FeMale,23,University student (CU),Website,1/7/2019,13/01/2019,1,20,-20,0
Customer,100431260,1/7/2019,16:01:09,16:02:10,16:09:24,end,CP#0PD12,21,02 Economics,06 Chamchuri 9,Male,20,University student (CU),Suggested by friend,1/7/2019,13/01/2019,1,20,0,20
Customer,100431273,1/7/2019,16:15:04,16:16:29,16:27:13,end,CP#0QKM0,22,02 Economics,22 Siam Square Soi 8,Male,22,University student (CU),Facebook,1/7/2019,13/01/2019,1,20,0,20
Customer,100431276,1/7/2019,16:19:40,16:20:22,16:30:43,end,CP#0T7V4,4,06 Chamchuri 9,01 Exit to Cham square,FeMale,44,Lecturer (CU),Website,1/7/2019,13/01/2019,1,20,0,20
Customer,100431293,1/7/2019,16:30:57,16:31:24,16:37:43,end,CP#0Q1G0,8,22 Siam Square Soi 8,17 Property office,Male,51,Lecturer (from other universities),Suggested by friend,1/7/2019,13/01/2019,1,20,-1,19
Customer,100431294,1/7/2019,16:31:02,16:37:21,16:43:49,end,CP#0TP91,10,08 Witthaya Nives,06 Chamchuri 9,,,,,1/7/2019,13/01/2019,1,20,0,20
Customer,100431296,1/7/2019,16:33:31,16:44:35,16:55:32,end,CP#0TGR4,23,03 Sala Prakeaw,21 Wittayakit Building,Male,21,University student (CU),Suggested by friend,1/7/2019,13/01/2019,1,20,-10,10
Customer,100431308,1/7/2019,16:46:28,16:57:48,17:11:24,end,CP#0T5S2,9,07 Chamchuri 5,22 Siam Square Soi 8,Male,23,University student (CU),Others(Booth),1/7/2019,13/01/2019,1,20,-20,0
Customer,100431324,1/7/2019,17:07:28,17:08:38,17:20:19,end,CP#0T024,3,21 Wittayakit Building,14 I’m Park ,Male,28,Others,Suggested by friend,1/7/2019,13/01/2019,1,20,0,20
Customer,100431331,1/7/2019,17:12:40,17:16:37,17:26:23,end,CP#0SN40,6,09 Chamchuri 10,03 Sala Prakeaw,Male,21,University student (CU),Facebook,1/7/2019,13/01/2019,1,20,-20,0
Customer,100431338,1/7/2019,17:19:12,17:22:03,17:34:42,end,CP#0S9Z5,23,03 Sala Prakeaw,12 CU Terrace,Male,29,University staff (CU),Others(Booth),1/7/2019,13/01/2019,1,20,0,20
Customer,100431342,1/7/2019,17:21:53,17:25:04,17:32:39,end,CP#0SRM4,8,08 Witthaya Nives,15 U Center ,FeMale,26,University student (CU),Facebook,1/7/2019,13/01/2019,1,20,0,20
Customer,100431346,1/7/2019,17:25:26,17:26:57,17:36:32,end,CP#0S066,9,22 Siam Square Soi 8,03 Sala Prakeaw,Male,22,University student (CU),Facebook,1/7/2019,13/01/2019,1,20,-5,15
Customer,100431348,1/7/2019,17:29:42,17:30:38,17:49:09,end,CP#0R1Y7,2,16 Communication Arts,12 CU Terrace,Male,20,University student (CU),Suggested by friend,1/7/2019,13/01/2019,1,26,0,26
Customer,100431351,1/7/2019,17:39:16,17:47:11,18:01:53,end,CP#0Q033,4,01 Exit to Cham square,11 BTS-National stadium ,Male,34,Government officials,Website,1/7/2019,13/01/2019,1,20,0,20
